Client PDF → original scope → current code mapping
Client PDF complaint	Original scope reference	Current code / app evidence	Classification
One latest-first unified activity feed with actor and timestamp	XLSX 11.1–11.3 explicitly requires automatic timeline, actor and timestamp	Current Lead Detail has an Activity tab; exact ordering and whether all activities are unified need a current browser test.	SOW bug candidate — reproduce
Add a chat box for internal notes	XLSX 1.8 requires free-text notes, not chat	A real-time chat interaction is beyond plain notes.	Change request / feature creep
Add Schedule Call: date/time, type, agenda and notification choice	XLSX 3.1–3.6 requires call logging, callback date/time, and reminders	Current CallLogTab.tsx and calls routes exist. Internal/external notification choice and every requested field need verification.	SOW bug candidate — reproduce for call basics; change request for global notification controls
Internal Notes / External Notes; only external notes sent to client	XLSX requires notes and client communications, not two-channel note architecture	This is a new data and communication model.	Change request / feature creep
Remove Follow-up Task completely	XLSX 3.4 explicitly says a follow-up task after every call is mandatory	This would remove an agreed feature.	Scope conflict
Rename Follow-up Task; change counter; show completed/scheduled/rescheduled/no-show totals	Original scope requires follow-up tracking but not these labels/counters	FollowUpTab.tsx currently shows pending and overdue counts. Requested reporting presentation is additional.	Change request
Task attachment only at completion, not creation	No original attachment rule for tasks	Current FollowUpTab.tsx permits task creation without attachments and supports multiple files.	Already addressed in current source
Assign task to another team member	XLSX requires manager visibility, not arbitrary task reassignment	Current task model supports assignees, but this exact workflow is not in scope.	Change request
Reschedule task with date/time/agenda; rename Outcome to Reason	XLSX requires follow-up reminders, not this complete rescheduling UX	Current task routes support rescheduling and preserve agenda/history. Exact UI requirements are added scope.	Partly addressed; change request for presentation details
Block all lead activity until an overdue task is rescheduled/cancelled	XLSX requires overdue notification/manager view, not a global activity lock	This is a major new business-control rule.	Change request / feature creep
Newly created task not shown in activity feed	XLSX 11.1 says every action should be logged; task activity is a reasonable extension	Current task routes create activity entries, but live feed refresh must be tested.	SOW bug candidate — reproduce
Rename PD to Pitch Discussion	XLSX does not prescribe this exact label	This is terminology/copy change.	Change request
Restrict attachment categories; attach to email	Original scope does not define broad attachment category/file-management rules	Later file-management enhancement.	Change request / feature creep
Meeting mode/location dropdown missing	XLSX 4.3 explicitly requires meeting modes; comments include office/site/virtual/public-place context	Current Meetings tab contains mode/location support, but exact UI/state needs test.	SOW bug candidate — reproduce
Floor plans uploaded at EL/MQL/DQL do not appear in Files tab	Original scope does not define a central Files tab or floor-plan synchronization	Current server has floor-plan upload plus stage file handling. Sync behavior is a later-feature defect candidate, not original-SOW breach.	Later-module bug candidate — reproduce
Allow multiple attachments in all tabs	Original scope does not define an all-tabs attachment system	Current Calls, Meetings and Tasks components support multi-file state. Other tabs require verification.	Change request, partly already implemented
Direct Mark Inactive from On Hold; inactivity reasons and typed notes	XLSX 2.5–2.6 requires inactive reason and On Hold with revival date	LeadDetail.tsx and leads.ts provide a direct status path and mandatory inactive reason. Exact reason taxonomy/notes are new.	Already addressed for direct action; change request for taxonomy/details
Mandatory email/SMS on inactivity and reactivation	XLSX comments request auto email/SMS for inactivation; reactivation messaging is not specified	API supports client notification controls; whether delivery occurs needs integration testing.	SOW bug candidate — reproduce for inactivation; change request for reactivation policy
Quote builder must only open the representative’s PID quote	XLSX requires designers only edit their assigned leads and quote-builder access	This is a legitimate authorization concern, but cross-system PID enforcement is not detailed in scope.	SOW-related security bug candidate — reproduce
Auto-fill PID, name and project details in quote builder	XLSX 5.2 explicitly requires Lead ID prefill	PID/Lead ID is in scope; name and project details extend it.	Partial scope change
Global Internal/External notification checkbox everywhere	XLSX specifies particular email/WhatsApp automations, not a global delivery policy	New communication-control framework.	Change request / feature creep
Designer edits every email before client send	XLSX 8.4 allows preview and editing for selected email types	“Every email” is broader than the agreed requirement.	Change request beyond existing preview requirement
Management edits all email templates	No admin-template editor in original scope	Existing admin mail-template work is a later enhancement.	Change request / feature creep
Tuesday/week-start/day-start/one-hour task and meeting reminders	XLSX requires due reminders and manager views, but not this schedule	Server currently runs overdue-task processing; exact reminder timings are not implemented by the shown job.	Partial scope change
Proposal Ready email should omit attachment; other mail attachment rules	Original scope requires automated emails, not this attachment matrix	New mail-policy decision.	Change request
Use calendar and clock controls instead of manual date/time	Scope requires scheduled dates/times, not a specific control type	Current UI already uses date/time inputs in several areas; broad consistency request is additional UI scope.	Change request
Sales incentive only after DIP	XLSX comments say sales work closes after post-onboarding/DIP; no incentive-calculation engine is specified	Incentive dashboards are later product scope.	Change request / feature creep
Designer-created leads should not enter MQL without project details	XLSX requires project details, but does not define the exact MQL-entry gate	Current stage rules intentionally start new leads at MQL. This needs a business-rule decision, not an assumed defect label.	Partial scope change
Expected OB Date reminder email/message	No Expected OB reminder requirement in XLSX	New automation requirement.	Change request / feature creep
Dashboard card titles, KPI logic and clickable drill-downs	XLSX 13.1–13.6 requires dashboard totals, funnel, SLA panel and activity; no specific card names/drilldowns	Current Dashboard.tsx contains funnel, conversion and some linked scopes. Exact new cards and click-through behavior need testing.	Partial scope change
Separate Sales/Design performance scores; metrics; medals	XLSX requires Designer and BL performance reports, not named scores, medals or formulas	New analytics/gamification design.	Change request / feature creep
BL/BH project flag	XLSX requires SLA badges/alerts, not manual project flagging	Current dashboard references flagged projects, but manual BL/BH flag authority is a later feature.	Change request
Remove NPS forecast; booking forecast from Expected OB Date	Forecasting is not listed in original dashboard/report scope	New analytics rules.	Change request / feature creep
Calendar views for tasks/calls/meetings; wrong date/time display	XLSX requires dated calls/meetings/tasks and reminders	Current app has scheduling data; a dedicated personal-calendar UX is beyond the SOW. Wrong displayed dates need reproduction.	SOW bug candidate — reproduce for incorrect dates; change request for calendar UX
Inactivate a lead should cancel/null all pending tasks	No task-cancellation rule in original scope	New lifecycle automation.	Change request / feature creep
Funnel calculation must use Total Leads Received as denominator	XLSX 13.4 requires conversion rates, but does not define the formula
